%	Date:	2016-12-09	Time:	15:18:18
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
5.7224E+2	-4.3497E-1	4.8669E+0	-9.3872E+1	-9.9880E+1	-9.5810E+1	-1.1256E+2	-1.0406E+2
6.1359E+2	-3.9853E-1	4.6643E+0	-9.0213E+1	-9.6363E+1	-9.3983E+1	-1.0857E+2	-9.5123E+1
6.5793E+2	-3.6478E-1	4.4587E+0	-9.0664E+1	-1.1063E+2	-9.3128E+1	-9.5873E+1	-9.9817E+1
7.0548E+2	-3.3325E-1	4.2516E+0	-8.9221E+1	-9.6831E+1	-9.1201E+1	-9.7702E+1	-1.0217E+2
7.5646E+2	-3.0453E-1	4.0447E+0	-8.9909E+1	-1.0498E+2	-9.2333E+1	-1.0043E+2	-9.5024E+1
8.1113E+2	-2.7835E-1	3.8389E+0	-9.1864E+1	-1.0072E+2	-9.3716E+1	-9.8687E+1	-1.1224E+2
8.6975E+2	-2.5438E-1	3.6351E+0	-9.3572E+1	-1.0206E+2	-9.5867E+1	-9.9952E+1	-1.0771E+2
9.3260E+2	-2.3270E-1	3.4359E+0	-9.0397E+1	-9.5693E+1	-9.2580E+1	-1.0383E+2	-1.0304E+2
1.0000E+3	-2.1316E-1	3.2410E+0	-8.9739E+1	-9.8003E+1	-9.0688E+1	-1.0826E+2	-1.0453E+2
1.0723E+3	-1.9559E-1	3.0509E+0	-9.2171E+1	-1.0303E+2	-9.4281E+1	-1.0047E+2	-1.0028E+2
1.1498E+3	-1.7995E-1	2.8679E+0	-8.7641E+1	-1.0600E+2	-9.0140E+1	-9.2671E+1	-9.7277E+1
1.2328E+3	-1.6584E-1	2.6902E+0	-9.4857E+1	-1.1038E+2	-9.6291E+1	-1.0171E+2	-1.0814E+2
1.3219E+3	-1.5340E-1	2.5191E+0	-9.0962E+1	-1.0277E+2	-9.5003E+1	-1.0741E+2	-9.3826E+1
1.4175E+3	-1.4236E-1	2.3559E+0	-9.1695E+1	-1.0389E+2	-9.4745E+1	-9.5771E+1	-1.0446E+2
1.5199E+3	-1.3259E-1	2.1985E+0	-9.2450E+1	-9.8384E+1	-9.5290E+1	-1.0115E+2	-1.0290E+2
1.6298E+3	-1.2399E-1	2.0493E+0	-9.3009E+1	-9.6687E+1	-9.7301E+1	-1.0214E+2	-1.0415E+2
1.7475E+3	-1.1636E-1	1.9064E+0	-9.1445E+1	-1.1347E+2	-9.1971E+1	-1.0435E+2	-1.0392E+2
1.8738E+3	-1.0959E-1	1.7697E+0	-9.2009E+1	-1.0763E+2	-9.4732E+1	-9.5726E+1	-1.1071E+2
2.0092E+3	-1.0376E-1	1.6411E+0	-9.0210E+1	-9.6257E+1	-9.2417E+1	-1.1285E+2	-9.8614E+1
2.1544E+3	-9.8570E-2	1.5169E+0	-9.0650E+1	-1.0002E+2	-9.1978E+1	-9.9932E+1	-1.0591E+2
2.3101E+3	-9.4098E-2	1.3991E+0	-9.3651E+1	-9.6614E+1	-1.0108E+2	-1.0025E+2	-1.0388E+2
2.4771E+3	-9.0077E-2	1.2873E+0	-9.1181E+1	-9.9418E+1	-9.3888E+1	-9.6594E+1	-1.0700E+2
2.6561E+3	-8.6722E-2	1.1815E+0	-9.4066E+1	-1.0659E+2	-9.5603E+1	-1.0212E+2	-1.0473E+2
2.8480E+3	-8.3597E-2	1.0789E+0	-9.5911E+1	-1.0092E+2	-1.0778E+2	-1.0233E+2	-9.9980E+1
3.0539E+3	-8.0941E-2	9.8272E-1	-9.0879E+1	-1.0385E+2	-9.2514E+1	-1.0705E+2	-9.7095E+1
3.2745E+3	-7.8456E-2	8.9059E-1	-9.0374E+1	-9.7757E+1	-9.2883E+1	-9.6967E+1	-1.0469E+2
3.5112E+3	-7.6567E-2	8.0167E-1	-9.4037E+1	-1.0354E+2	-9.7826E+1	-9.8743E+1	-1.0284E+2
3.7649E+3	-7.4811E-2	7.1598E-1	-9.0366E+1	-9.9992E+1	-9.1677E+1	-9.9314E+1	-1.0654E+2
4.0370E+3	-7.3402E-2	6.3509E-1	-9.1896E+1	-9.6177E+1	-9.6870E+1	-1.0591E+2	-9.7598E+1
4.3288E+3	-7.1922E-2	5.5626E-1	-9.2742E+1	-9.6344E+1	-9.6106E+1	-1.1491E+2	-1.0289E+2
4.6416E+3	-7.0737E-2	4.7892E-1	-9.1850E+1	-9.9754E+1	-9.3389E+1	-1.0463E+2	-1.0262E+2
4.9770E+3	-6.9699E-2	4.0428E-1	-8.8470E+1	-9.5696E+1	-9.1500E+1	-9.4320E+1	-1.0124E+2
5.3367E+3	-6.8775E-2	3.3270E-1	-9.3117E+1	-1.0345E+2	-9.4600E+1	-1.0018E+2	NaN
5.7224E+3	-6.8033E-2	2.6193E-1	-9.2716E+1	-9.5634E+1	-9.6388E+1	-1.0493E+2	NaN
6.1359E+3	-6.7271E-2	1.9257E-1	-9.3054E+1	-9.8515E+1	-9.4867E+1	-1.0549E+2	NaN
6.5793E+3	-6.6572E-2	1.2463E-1	-9.5750E+1	-1.0163E+2	-9.7046E+1	NaN	NaN
7.0548E+3	-6.5990E-2	5.6696E-2	-9.0910E+1	-1.0858E+2	-9.0985E+1	NaN	NaN
7.5646E+3	-6.5368E-2	-1.0518E-2	-9.0891E+1	-9.6111E+1	-9.2444E+1	NaN	NaN
8.1113E+3	-6.4850E-2	-7.7630E-2	-9.8709E+1	-1.0316E+2	-1.0064E+2	NaN	NaN
8.6975E+3	-6.4324E-2	-1.4675E-1	-9.8553E+1	-9.8553E+1	NaN	NaN	NaN
9.3260E+3	-6.3668E-2	-2.1426E-1	-1.0394E+2	-1.0394E+2	NaN	NaN	NaN
1.0000E+4	-6.3248E-2	-2.8442E-1	-1.0812E+2	-1.0812E+2	NaN	NaN	NaN
