%	Date:	2016-12-09	Time:	15:22:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.4175E+3	-2.7492E-1	8.8847E+0	-9.0813E+1	-1.0897E+2	-9.1260E+1	-1.0302E+2	-1.0733E+2
1.5199E+3	-2.3780E-1	8.3391E+0	-9.1166E+1	-1.0635E+2	-9.1942E+1	-1.0127E+2	-1.0563E+2
1.6298E+3	-2.0493E-1	7.8186E+0	-9.3067E+1	-1.0264E+2	-9.4444E+1	-1.0340E+2	-1.0470E+2
1.7475E+3	-1.7583E-1	7.3246E+0	-9.0430E+1	-9.7850E+1	-9.1844E+1	-1.1892E+2	-1.0063E+2
1.8738E+3	-1.4992E-1	6.8534E+0	-9.0165E+1	-1.0341E+2	-9.1322E+1	-1.0124E+2	-9.9815E+1
2.0092E+3	-1.2725E-1	6.4070E+0	-8.9411E+1	-1.0505E+2	-9.1266E+1	-9.6149E+1	-9.9065E+1
2.1544E+3	-1.0735E-1	5.9841E+0	-9.0563E+1	-1.0055E+2	-9.3082E+1	-1.0235E+2	-9.6191E+1
2.3101E+3	-8.9555E-2	5.5846E+0	-9.1756E+1	-9.8381E+1	-9.4249E+1	-1.0506E+2	-9.9391E+1
2.4771E+3	-7.4211E-2	5.2057E+0	-8.9787E+1	-9.7073E+1	-9.2162E+1	-1.0081E+2	-9.7875E+1
2.6561E+3	-6.0513E-2	4.8497E+0	-8.9204E+1	-9.9809E+1	-8.9968E+1	-1.0315E+2	-1.0389E+2
2.8480E+3	-4.8498E-2	4.5127E+0	-9.0749E+1	-1.0286E+2	-9.2867E+1	-1.0141E+2	-9.6973E+1
3.0539E+3	-3.8236E-2	4.1951E+0	-8.6790E+1	-9.9543E+1	-8.9072E+1	-9.5098E+1	-9.3611E+1
3.2745E+3	-2.8919E-2	3.8944E+0	-8.9275E+1	-9.5879E+1	-9.2725E+1	-9.4242E+1	-1.0893E+2
3.5112E+3	-2.0854E-2	3.6120E+0	-9.2496E+1	-1.0939E+2	-9.3635E+1	-1.0143E+2	-1.0332E+2
3.7649E+3	-1.3894E-2	3.3457E+0	-9.2413E+1	-9.5416E+1	-1.0394E+2	-9.8465E+1	-9.9846E+1
4.0370E+3	-7.6127E-3	3.0932E+0	-9.0508E+1	-9.4172E+1	-9.3240E+1	-1.0689E+2	-1.0910E+2
4.3288E+3	-2.1924E-3	2.8551E+0	-9.5958E+1	-1.0197E+2	-9.8110E+1	-1.0553E+2	-1.1118E+2
4.6416E+3	2.4947E-3	2.6300E+0	-9.1695E+1	-9.9644E+1	-9.3074E+1	-1.0224E+2	-1.0801E+2
