%	Date:	2016-12-09	Time:	15:21:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
4.9770E+2	1.7234E+0	-1.9195E+1	-9.0174E+1	-9.7877E+1	-9.1552E+1	-1.0981E+2	-1.0057E+2
5.3367E+2	1.5784E+0	-1.8542E+1	-8.9608E+1	-9.2060E+1	-9.4563E+1	-1.1466E+2	-9.9248E+1
5.7224E+2	1.4410E+0	-1.7872E+1	-8.9163E+1	-9.8386E+1	-9.1094E+1	-1.0135E+2	-9.6635E+1
6.1359E+2	1.3113E+0	-1.7185E+1	-9.0980E+1	-1.0424E+2	-9.2042E+1	-9.8904E+1	-1.1168E+2
6.5793E+2	1.1897E+0	-1.6490E+1	-9.2988E+1	-9.8911E+1	-9.6060E+1	-1.0504E+2	-1.0022E+2
7.0548E+2	1.0762E+0	-1.5789E+1	-9.2463E+1	-1.0870E+2	-9.3462E+1	-1.0645E+2	-1.0095E+2
7.5646E+2	9.7073E-1	-1.5086E+1	-9.0874E+1	-9.8269E+1	-9.2173E+1	-1.0309E+2	-1.0876E+2
8.1113E+2	8.7330E-1	-1.4386E+1	-9.0700E+1	-1.0377E+2	-9.2327E+1	-1.0081E+2	-9.8505E+1
8.6975E+2	7.8364E-1	-1.3693E+1	-9.0911E+1	-1.0346E+2	-9.4620E+1	-9.5726E+1	-9.8148E+1
9.3260E+2	7.0178E-1	-1.3009E+1	-8.9800E+1	-1.0305E+2	-9.0761E+1	-9.8641E+1	-1.0666E+2
1.0000E+3	6.2711E-1	-1.2340E+1	-9.4680E+1	-1.1088E+2	-9.8495E+1	-9.8188E+1	-1.0408E+2
1.0723E+3	5.5952E-1	-1.1686E+1	-9.0423E+1	-9.6891E+1	-9.1967E+1	-1.0304E+2	-1.0767E+2
1.1498E+3	4.9840E-1	-1.1051E+1	-8.9581E+1	-9.4711E+1	-9.2240E+1	-9.9968E+1	-1.0184E+2
1.2328E+3	4.4343E-1	-1.0438E+1	-9.2653E+1	-1.0347E+2	-9.3286E+1	-1.0545E+2	-1.2780E+2
1.3219E+3	3.9417E-1	-9.8488E+0	-9.2822E+1	-1.0500E+2	-9.3703E+1	-1.1081E+2	-1.0252E+2
1.4175E+3	3.5006E-1	-9.2823E+0	-9.2538E+1	-1.0690E+2	-9.4572E+1	-1.0864E+2	-9.7587E+1
1.5199E+3	3.1079E-1	-8.7411E+0	-8.9181E+1	-1.0778E+2	-9.0190E+1	-1.0573E+2	-9.6837E+1
1.6298E+3	2.7588E-1	-8.2253E+0	-9.0383E+1	-1.0016E+2	-9.3061E+1	-1.0544E+2	-9.5283E+1
1.7475E+3	2.4494E-1	-7.7350E+0	-8.8950E+1	-1.0459E+2	-8.9387E+1	-1.0193E+2	-1.0641E+2
1.8738E+3	2.1748E-1	-7.2709E+0	-9.3638E+1	-1.0363E+2	-9.5765E+1	-1.0528E+2	-1.0024E+2
2.0092E+3	1.9329E-1	-6.8310E+0	-9.1211E+1	-1.0968E+2	-9.1749E+1	-1.0869E+2	-1.0195E+2
2.1544E+3	1.7197E-1	-6.4170E+0	-9.1057E+1	-1.0222E+2	-9.2051E+1	-9.9997E+1	-1.2293E+2
2.3101E+3	1.5307E-1	-6.0272E+0	-9.2528E+1	-9.9961E+1	-9.5443E+1	-9.7766E+1	-1.1299E+2
2.4771E+3	1.3651E-1	-5.6604E+0	-9.7209E+1	-1.0065E+2	-1.0572E+2	-1.0569E+2	-1.0298E+2
2.6561E+3	1.2195E-1	-5.3163E+0	-9.2506E+1	-1.0188E+2	-9.8271E+1	-9.6041E+1	-1.0004E+2
2.8480E+3	1.0918E-1	-4.9942E+0	-9.0033E+1	-1.1081E+2	-9.0951E+1	-9.8394E+1	-1.0444E+2
3.0539E+3	9.8066E-2	-4.6934E+0	-8.9563E+1	-9.7653E+1	-9.0500E+1	-1.0592E+2	-1.0757E+2
3.2745E+3	8.8177E-2	-4.4123E+0	-9.1322E+1	-9.9169E+1	-9.3093E+1	-1.0179E+2	-1.0223E+2
3.5112E+3	7.9556E-2	-4.1512E+0	-9.0478E+1	-1.1264E+2	-9.1389E+1	-9.8131E+1	-1.0991E+2
3.7649E+3	7.2079E-2	-3.9066E+0	-9.1685E+1	-1.0235E+2	-9.2901E+1	-1.0052E+2	-1.0729E+2
4.0370E+3	6.5484E-2	-3.6798E+0	-9.0281E+1	-9.2692E+1	-9.5432E+1	-1.0307E+2	-1.0196E+2
4.3288E+3	5.9585E-2	-3.4712E+0	-8.9244E+1	-1.1696E+2	-9.0125E+1	-1.0776E+2	-9.6992E+1
4.6416E+3	5.4631E-2	-3.2778E+0	-9.1308E+1	-1.0947E+2	-9.1712E+1	-1.0454E+2	-1.0714E+2
4.9770E+3	5.0038E-2	-3.0989E+0	-9.3924E+1	-1.1727E+2	-9.4886E+1	-1.0121E+2	-1.1522E+2
5.3367E+3	4.6357E-2	-2.9341E+0	-9.3321E+1	-1.0080E+2	-9.4747E+1	-1.0326E+2	NaN
5.7224E+3	4.2943E-2	-2.7834E+0	-9.2818E+1	-1.0270E+2	-9.4216E+1	-1.0045E+2	NaN
6.1359E+3	3.9934E-2	-2.6461E+0	-9.4519E+1	-1.1465E+2	-9.6071E+1	-9.9883E+1	NaN
6.5793E+3	3.7491E-2	-2.5200E+0	-9.6974E+1	-9.8940E+1	-1.0136E+2	NaN	NaN
7.0548E+3	3.5357E-2	-2.4072E+0	-9.4853E+1	-1.0240E+2	-9.5693E+1	NaN	NaN
7.5646E+3	3.3407E-2	-2.3054E+0	-9.0342E+1	-9.7639E+1	-9.1237E+1	NaN	NaN
8.1113E+3	3.1857E-2	-2.2138E+0	-9.8442E+1	-1.0455E+2	-9.9662E+1	NaN	NaN
8.6975E+3	3.0557E-2	-2.1323E+0	-1.0185E+2	-1.0185E+2	NaN	NaN	NaN
9.3260E+3	2.9512E-2	-2.0614E+0	-9.2638E+1	-9.2638E+1	NaN	NaN	NaN
1.0000E+4	2.8445E-2	-2.0007E+0	-9.6512E+1	-9.6512E+1	NaN	NaN	NaN
