%	Date:	2016-12-09	Time:	15:15:09
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.3219E+3	1.6314E-1	-2.6499E+0	-9.0442E+1	-9.8955E+1	-9.5081E+1	-9.4494E+1	-9.9570E+1
1.4175E+3	1.5254E-1	-2.5003E+0	-9.2744E+1	-9.9752E+1	-9.5605E+1	-9.9679E+1	-1.0367E+2
1.5199E+3	1.4336E-1	-2.3597E+0	-9.2575E+1	-1.0213E+2	-9.4010E+1	-1.0090E+2	-1.0883E+2
1.6298E+3	1.3510E-1	-2.2269E+0	-9.6053E+1	-1.0918E+2	-9.6552E+1	-1.2194E+2	-1.0847E+2
1.7475E+3	1.2778E-1	-2.1017E+0	-8.9818E+1	-1.0555E+2	-9.0998E+1	-9.8558E+1	-1.0093E+2
1.8738E+3	1.2135E-1	-1.9851E+0	-9.0095E+1	-9.9998E+1	-9.1963E+1	-9.7022E+1	-1.0362E+2
2.0092E+3	1.1571E-1	-1.8753E+0	-8.8387E+1	-1.0043E+2	-9.0137E+1	-1.0447E+2	-9.4500E+1
2.1544E+3	1.1088E-1	-1.7744E+0	-9.1911E+1	-1.0602E+2	-9.3223E+1	-1.2537E+2	-9.8462E+1
2.3101E+3	1.0651E-1	-1.6792E+0	-9.0957E+1	-1.0533E+2	-9.1820E+1	-1.0137E+2	-1.0372E+2
2.4771E+3	1.0276E-1	-1.5921E+0	-9.0088E+1	-9.7721E+1	-9.2413E+1	-9.7832E+1	-1.0139E+2
2.6561E+3	9.9413E-2	-1.5110E+0	-9.1544E+1	-1.1216E+2	-9.2846E+1	-9.7664E+1	-1.1378E+2
2.8480E+3	9.6584E-2	-1.4369E+0	-9.1499E+1	-9.8140E+1	-9.3152E+1	-1.1040E+2	-1.0210E+2
3.0539E+3	9.4013E-2	-1.3687E+0	-9.0399E+1	-1.0158E+2	-9.1186E+1	-1.1263E+2	-1.0118E+2
3.2745E+3	9.1758E-2	-1.3076E+0	-8.9430E+1	-9.9815E+1	-9.0314E+1	-1.0540E+2	-1.0115E+2
3.5112E+3	8.9769E-2	-1.2517E+0	-8.8470E+1	-9.5007E+1	-9.2160E+1	-9.4891E+1	-9.7591E+1
3.7649E+3	8.8091E-2	-1.2017E+0	-9.1734E+1	-1.0169E+2	-9.2767E+1	-1.0348E+2	-1.0532E+2
4.0370E+3	8.6598E-2	-1.1578E+0	-9.2140E+1	-9.6691E+1	-9.4288E+1	-1.0974E+2	-1.0867E+2
4.3288E+3	8.5348E-2	-1.1182E+0	-9.1898E+1	-1.0477E+2	-9.4069E+1	-9.7909E+1	-1.0230E+2
4.6416E+3	8.4185E-2	-1.0845E+0	-8.9445E+1	-1.0232E+2	-9.0610E+1	-1.1085E+2	-9.6983E+1
4.9770E+3	8.3203E-2	-1.0561E+0	-9.1144E+1	-9.8231E+1	-9.2651E+1	-1.1249E+2	-1.0159E+2
5.3367E+3	8.2445E-2	-1.0330E+0	-9.3337E+1	-1.0370E+2	-9.7491E+1	-9.6145E+1	NaN
5.7224E+3	8.1680E-2	-1.0124E+0	-9.6010E+1	-1.0664E+2	-9.8943E+1	-9.9940E+1	NaN
6.1359E+3	8.1176E-2	-9.9906E-1	-9.1025E+1	-1.0442E+2	-9.1411E+1	-1.0508E+2	NaN
6.5793E+3	8.0806E-2	-9.9056E-1	-9.1067E+1	-9.9933E+1	-9.1671E+1	NaN	NaN
7.0548E+3	8.0286E-2	-9.8429E-1	-9.3121E+1	-9.8425E+1	-9.4639E+1	NaN	NaN
7.5646E+3	8.0052E-2	-9.8463E-1	-9.1538E+1	-9.9096E+1	-9.2376E+1	NaN	NaN
8.1113E+3	7.9798E-2	-9.8916E-1	-9.2714E+1	-9.8529E+1	-9.4034E+1	NaN	NaN
8.6975E+3	7.9772E-2	-9.9895E-1	-1.0218E+2	-1.0218E+2	NaN	NaN	NaN
9.3260E+3	7.9679E-2	-1.0134E+0	-1.0540E+2	-1.0540E+2	NaN	NaN	NaN
1.0000E+4	7.9773E-2	-1.0316E+0	-9.6794E+1	-9.6794E+1	NaN	NaN	NaN
