7.9599E+3	9.7940E+0	-6.4900E+0	2.9827E+1	-1.2943E+1	-1.4182E+1	NaN	NaN
8.5951E+3	9.7281E+0	-6.4372E+0	2.2815E+1	-1.2836E+1	NaN	NaN	NaN
9.2810E+3	9.6687E+0	-6.3865E+0	2.3066E+1	-1.2740E+1	NaN	NaN	NaN
1.0022E+4	9.6157E+0	-6.3407E+0	2.3287E+1	-1.2658E+1	NaN	NaN	NaN
1.0821E+4	9.5689E+0	-6.3055E+0	2.3486E+1	-1.2584E+1	NaN	NaN	NaN
1.1685E+4	9.5275E+0	-6.2857E+0	2.3453E+1	-1.2596E+1	NaN	NaN	NaN
1.2617E+4	9.4917E+0	-6.2854E+0	NaN	NaN	NaN	NaN	NaN
1.3624E+4	9.4608E+0	-6.3081E+0	NaN	NaN	NaN	NaN	NaN
1.4711E+4	9.4342E+0	-6.3581E+0	NaN	NaN	NaN	NaN	NaN
1.5885E+4	9.4116E+0	-6.4393E+0	NaN	NaN	NaN	NaN	NaN
1.7153E+4	9.3922E+0	-6.5554E+0	NaN	NaN	NaN	NaN	NaN
1.8522E+4	9.3762E+0	-6.7092E+0	NaN	NaN	NaN	NaN	NaN
2.0000E+4	9.3635E+0	-6.9052E+0	NaN	NaN	NaN	NaN	NaN
