Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
1.77827941003892e+000	(2.61911939744537e+000dB,1.79717105461827e+002°)	(5.23791590019039e+000dB,1.79433005107609e+002°)	(1.04757728038951e+001dB,1.78840206486683e+002°)	(2.09475051181439e+001dB,1.77369154319095e+002°)	(-2.61915506039583e+000dB,-1.79717147112628e+002°)	(-5.23795430520369e+000dB,-1.79433107560738e+002°)	(-1.04758220212430e+001dB,-1.78840260568209e+002°)
1.81970085860998e+000	(2.61907059864702e+000dB,1.79710525336998e+002°)	(5.23781897217494e+000dB,1.79419816305530e+002°)	(1.04755694718354e+001dB,1.78813230440208e+002°)	(2.09469233828142e+001dB,1.77308021607840e+002°)	(-2.61910626177690e+000dB,-1.79710567957931e+002°)	(-5.23785739046614e+000dB,-1.79419921142712e+002°)	(-1.04756186927417e+001dB,-1.78813285780577e+002°)
1.86208713666287e+000	(2.61901950422026e+000dB,1.79703792608150e+002°)	(5.23771748408330e+000dB,1.79406321597177e+002°)	(1.04753565746372e+001dB,1.78785628827419e+002°)	(2.09463143222390e+001dB,1.77245475458420e+002°)	(-2.61905516753800e+000dB,-1.79703836221811e+002°)	(-5.23775591627716e+000dB,-1.79406428873770e+002°)	(-1.04754057992691e+001dB,-1.78785685455889e+002°)
1.90546071796325e+000	(2.61896600637888e+000dB,1.79696903768261e+002°)	(5.23761122177638e+000dB,1.79392513949875e+002°)	(1.04751336632054e+001dB,1.78757387275831e+002°)	(2.09456766573783e+001dB,1.77181483697061e+002°)	(-2.61900166989332e+000dB,-1.79696948397769e+002°)	(-5.23764966852700e+000dB,-1.79392623722520e+002°)	(-1.04751828917379e+001dB,-1.78757445222340e+002°)
1.94984459975804e+000	(2.61890999229568e+000dB,1.79689855232005e+002°)	(5.23749996109720e+000dB,1.79378386173755e+002°)	(1.04749002674425e+001dB,1.78728491092349e+002°)	(2.09450090497539e+001dB,1.77116013453757e+002°)	(-2.61894565601606e+000dB,-1.79689900901020e+002°)	(-5.23753842308942e+000dB,-1.79378498500396e+002°)	(-1.04749495000589e+001dB,-1.78728550387525e+002°)
1.99526231496888e+000	(2.61885134386864e+000dB,1.79682643334177e+002°)	(5.23738346740592e+000dB,1.79363930918553e+002°)	(1.04746558952750e+001dB,1.78698925256798e+002°)	(2.09443100987281e+001dB,1.77049031149809e+002°)	(-2.61888700780464e+000dB,-1.79682690066908e+002°)	(-5.23742194535671e+000dB,-1.79364045858470e+002°)	(-1.04747051321672e+001dB,-1.78698985931979e+002°)
2.04173794466953e+000	(2.61878993747641e+000dB,1.79675264328084e+002°)	(5.23726149509355e+000dB,1.79349140670383e+002°)	(1.04744000316351e+001dB,1.78668674415389e+002°)	(2.09435783386624e+001dB,1.76980502485331e+002°)	(-2.61882560163816e+000dB,-1.79675312149305e+002°)	(-5.23729998975358e+000dB,-1.79349258284221e+002°)	(-1.04744492730038e+001dB,-1.78668736502637e+002°)
2.08929613085404e+000	(2.61872564372267e+000dB,1.79667714383929e+002°)	(5.23713378707365e+000dB,1.79334007748459e+002°)	(1.04741321373948e+001dB,1.78637722874096e+002°)	(2.09428122359510e+001dB,1.76910392426753e+002°)	(-2.61876130812078e+000dB,-1.79667763318989e+002°)	(-5.23717229922879e+000dB,-1.79334128098263e+002°)	(-1.04741813834503e+001dB,-1.78637786406213e+002°)
2.13796208950223e+000	(2.61865832716888e+000dB,1.79659989587164e+002°)	(5.23700007425069e+000dB,1.79318524301793e+002°)	(1.04738516482540e+001dB,1.78606054591968e+002°)	(2.09420101859229e+001dB,1.76838665194326e+002°)	(-2.61869399181446e+000dB,-1.79660039662005e+002°)	(-5.23703860472371e+000dB,-1.79318647451033e+002°)	(-1.04739008992162e+001dB,-1.78606119602515e+002°)
2.18776162394955e+000	(2.61858784605491e+000dB,1.79652085936838e+002°)	(5.23686007496444e+000dB,1.79302682305837e+002°)	(1.04735579735756e+001dB,1.78573653174369e+002°)	(2.09411705096088e+001dB,1.76765284249664e+002°)	(-2.61862351095958e+000dB,-1.79652137178004e+002°)	(-5.23689862461672e+000dB,-1.79302808319444e+002°)	(-1.04736072296750e+001dB,-1.78573719697681e+002°)
