%	Date:	2016-12-19	Time:	16:46:01
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.3303E+3	-6.9560E+1	-1.7763E+1	6.2756E+0	-3.1880E+1	-3.1305E+1	-2.9182E+1	-2.8722E+1
2.5162E+3	-6.9295E+1	-1.7202E+1	5.9322E+0	-3.2879E+1	-2.7900E+1	-3.2934E+1	-3.0590E+1
2.7170E+3	-6.9331E+1	-2.2107E+1	4.0847E+0	-3.3072E+1	-3.7831E+1	-3.1924E+1	-3.4334E+1
2.9338E+3	-6.9516E+1	-2.0700E+1	5.4205E+0	-3.1847E+1	-3.3190E+1	-2.9252E+1	-3.2097E+1
3.1680E+3	-6.9461E+1	-2.1510E+1	5.2121E+0	-2.7778E+1	-3.8543E+1	-3.7361E+1	-3.1395E+1
3.4208E+3	-6.9064E+1	-2.3794E+1	4.6773E+0	-3.3611E+1	-3.1078E+1	-3.0404E+1	-4.2150E+1
3.6938E+3	-6.9237E+1	-2.4856E+1	5.5790E+0	-2.8501E+1	-3.1528E+1	-3.1544E+1	-3.5284E+1
3.9885E+3	-6.9088E+1	-2.6540E+1	7.7334E+0	-3.0314E+1	-2.4953E+1	-2.7536E+1	-4.0460E+1
4.3068E+3	-6.9317E+1	-2.9464E+1	4.8686E+0	-2.9340E+1	-3.4540E+1	-3.1489E+1	-3.8389E+1
4.6505E+3	-6.9064E+1	-3.4069E+1	5.4012E+0	-3.4666E+1	-3.4122E+1	-3.3859E+1	-2.7502E+1
5.0216E+3	-6.8907E+1	-3.4240E+1	3.6389E+0	-3.0790E+1	-3.6851E+1	-3.5469E+1	NaN
5.4223E+3	-6.8605E+1	-3.3686E+1	2.8401E+0	-3.2701E+1	-3.7680E+1	-4.0043E+1	NaN
5.8550E+3	-6.8631E+1	-3.8037E+1	3.0567E+0	-3.0979E+1	-4.5133E+1	-3.9767E+1	NaN
6.3223E+3	-6.8689E+1	-4.1260E+1	4.1993E+0	-3.9695E+1	-2.7809E+1	NaN	NaN
6.8268E+3	-6.8086E+1	-4.2654E+1	4.2469E+0	-3.3383E+1	-2.8714E+1	NaN	NaN
7.3716E+3	-6.8299E+1	-4.6301E+1	2.5058E+0	-3.4643E+1	-3.5458E+1	NaN	NaN
7.9599E+3	-6.8035E+1	-4.8994E+1	5.0591E+0	-2.8172E+1	-2.9847E+1	NaN	NaN
8.5951E+3	-6.7845E+1	-5.1711E+1	9.1320E-1	-4.0789E+1	NaN	NaN	NaN
9.2810E+3	-6.7695E+1	-5.6027E+1	2.7359E+0	-3.1258E+1	NaN	NaN	NaN
1.0022E+4	-6.7603E+1	-5.5705E+1	1.5854E+0	-3.5997E+1	NaN	NaN	NaN
1.0821E+4	-6.6693E+1	-5.8791E+1	4.6898E-1	-4.6577E+1	NaN	NaN	NaN
1.1685E+4	-6.6625E+1	-6.2174E+1	2.0759E+0	-3.3656E+1	NaN	NaN	NaN
1.2617E+4	-6.6391E+1	-6.5720E+1	NaN	NaN	NaN	NaN	NaN
1.3624E+4	-6.5940E+1	-6.9713E+1	NaN	NaN	NaN	NaN	NaN
1.4711E+4	-6.5417E+1	-7.1462E+1	NaN	NaN	NaN	NaN	NaN
1.5885E+4	-6.5108E+1	-7.1747E+1	NaN	NaN	NaN	NaN	NaN
1.7153E+4	-6.4712E+1	-7.6499E+1	NaN	NaN	NaN	NaN	NaN
1.8522E+4	-6.4268E+1	-7.7151E+1	NaN	NaN	NaN	NaN	NaN
2.0000E+4	-6.3780E+1	-8.0727E+1	NaN	NaN	NaN	NaN	NaN
