%	Date:	2016-12-19	Time:	16:27:38
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0014E+3	-9.5176E+0	-2.2129E-1	1.4477E-1	-5.6800E+1	-1.0312E+2	-8.8801E+1	-8.2953E+1
1.0814E+3	-9.5208E+0	-1.6934E-1	1.4413E-1	-5.6829E+1	-9.2796E+1	-9.6792E+1	-8.8145E+1
1.1676E+3	-9.5222E+0	-1.1706E-1	1.4391E-1	-5.6843E+1	-8.7241E+1	-9.4749E+1	-9.5562E+1
1.2608E+3	-9.5231E+0	-6.7682E-2	1.4222E-1	-5.6945E+1	-8.9981E+1	-1.0031E+2	-9.1097E+1
1.3614E+3	-9.5235E+0	-1.3130E-2	1.4209E-1	-5.6953E+1	-9.5637E+1	-8.9022E+1	-9.4078E+1
1.4701E+3	-9.5224E+0	3.6594E-2	1.4698E-1	-5.6667E+1	-8.4006E+1	-8.9703E+1	-9.0321E+1
1.5874E+3	-9.5212E+0	8.2241E-2	1.4018E-1	-5.7070E+1	-8.9806E+1	-9.1032E+1	-1.0359E+2
1.7141E+3	-9.5182E+0	1.3298E-1	1.4233E-1	-5.6938E+1	-1.0494E+2	-8.9048E+1	-9.4227E+1
1.8509E+3	-9.5159E+0	1.7944E-1	1.4281E-1	-5.6913E+1	-9.2602E+1	-9.3143E+1	-8.5378E+1
1.9986E+3	-9.5120E+0	2.2115E-1	1.4092E-1	-5.7026E+1	-8.6052E+1	-9.9039E+1	-1.0232E+2
2.1581E+3	-9.5071E+0	2.6364E-1	1.3952E-1	-5.7109E+1	-9.3491E+1	-9.4270E+1	-9.6533E+1
2.3303E+3	-9.5017E+0	3.0569E-1	1.3924E-1	-5.7128E+1	-9.2879E+1	-9.7799E+1	-9.0770E+1
2.5162E+3	-9.4958E+0	3.4154E-1	1.3600E-1	-5.7333E+1	-8.9226E+1	-9.8367E+1	-1.0123E+2
2.7170E+3	-9.4893E+0	3.7261E-1	1.3621E-1	-5.7326E+1	-8.7751E+1	-8.6091E+1	-1.0799E+2
2.9338E+3	-9.4810E+0	3.9946E-1	1.3587E-1	-5.7343E+1	-9.2674E+1	-8.7196E+1	-1.0019E+2
3.1680E+3	-9.4724E+0	4.2118E-1	1.3479E-1	-5.7416E+1	-9.0735E+1	-8.6410E+1	-9.0986E+1
3.4208E+3	-9.4638E+0	4.3873E-1	1.3318E-1	-5.7524E+1	-8.4796E+1	-8.7219E+1	-9.9925E+1
3.6938E+3	-9.4537E+0	4.4448E-1	1.3218E-1	-5.7593E+1	-8.5447E+1	-8.4782E+1	-9.7797E+1
3.9885E+3	-9.4441E+0	4.4754E-1	1.3223E-1	-5.7575E+1	-1.0407E+2	-9.4652E+1	-9.8546E+1
4.3068E+3	-9.4340E+0	4.4168E-1	1.3184E-1	-5.7609E+1	-8.9505E+1	-8.8041E+1	-8.9279E+1
4.6505E+3	-9.4236E+0	4.2749E-1	1.3134E-1	-5.7635E+1	-8.9786E+1	-1.0007E+2	-9.7171E+1
5.0216E+3	-9.4126E+0	4.0358E-1	1.3138E-1	-5.7632E+1	-9.0567E+1	-9.5496E+1	NaN
5.4223E+3	-9.4018E+0	3.7208E-1	1.2564E-1	-5.8035E+1	-8.2196E+1	-9.2939E+1	NaN
5.8550E+3	-9.3917E+0	3.3242E-1	1.2678E-1	-5.7947E+1	-8.7875E+1	-8.8736E+1	NaN
